,LATITUDE,LONGITUDE,ZIP CODE
1798,40.65104,-74.0111,11231
1799,40.694637,-73.949066,11206
1805,40.718647,-73.83771,11375
1807,40.748466,-73.99247,10001
1808,40.760525,-73.97998,10020
1814,40.818504,-73.91448,10455
1815,40.825756,-73.95094,10031
1819,40.613186,-73.9749,11204
1829,40.751545,-73.87085,11372
1830,40.698406,-73.80647,11435
1847,40.738796,-73.97716,10010
1851,40.69603,-73.943535,11237
1853,40.663517,-73.957214,11225
1855,40.684902,-73.92946,11233
1859,40.689144,-73.99071,11201
1861,40.677483,-73.93033,11208
1873,40.729553,-73.91188,11378
1874,40.680088,-73.94398,11216
1875,40.615005,-73.980225,11204
1883,40.743397,-73.9384,11101
1885,40.6212541,-74.0028565,11228
1887,40.85482,-73.9112,10453
1889,40.821117,-73.957466,10031
1893,40.639256,-73.968796,11218
1895,40.761406,-73.80385,11358
1896,40.763485,-73.98895,10019
1897,40.80256,-73.943,10035
1898,40.817173,-73.94606,10030
1899,40.776237,-73.95587,10028
1901,40.641747,-74.013824,11220
1905,40.81207,-73.93603,10030
1906,40.776722,-73.979294,10023
1908,40.75484,-73.98412,10019
1912,40.678722,-73.952995,11226
1914,40.749706,-73.99157,10119
1919,40.790253,-73.94564,10029
1921,40.76552,-73.98004,10019
1922,40.801754,-73.93121,10035
1924,40.69968,-73.79864,11435
1930,40.71346,-73.91522,11385
1935,40.72225,-74.00592,10005
1940,40.783974,-73.97031,10024
1943,40.841274,-73.91762,10452
1950,40.699013,-73.79573,11433
1961,40.710262,-73.95802,11249
1963,40.830242,-73.9497,10031
1968,40.773335,-73.95506,10021
1969,40.683582,-73.953964,11221
1989,40.804066,-73.93117,10035
1991,40.865364,-73.92439,10034
1993,40.720074,-73.988365,10002
1994,40.655037,-73.935585,11203
1995,40.681137,-73.95567,11207
1999,40.684082,-73.90864,11207
2000,40.73378,-73.98065,10009
2005,40.849285,-73.93894,10040
2006,40.68902,-73.98617,11217
2013,40.65117,-73.9419,11203
2021,40.655037,-73.935585,11203
2026,40.813374,-73.956276,10115
2028,40.82942,-73.91226,10456
2029,40.755928,-73.91928,11101
2032,40.655457,-73.92883,11203
2033,40.69149,-73.92557,11221
2035,40.69223,-73.76027,11412
2037,40.801754,-73.93121,10035
2039,40.760773,-73.984474,10019
2041,40.68341,-73.87304,11208
2045,40.679276,-73.92906,11234
2054,40.84206,-73.823425,10465
2059,40.826427,-73.950455,10031
2061,40.815304,-73.94371,10030
2072,40.70636,-73.95192,11207
2075,40.69821,-73.92406,11221
2076,40.81339,-73.95627,10027
2077,40.84771,-73.93798,10033
2079,40.810207,-73.93951,10037
2085,40.827206,-73.94246,10031
2086,40.719395,-74.00189,10003
2094,40.63778,-74.01794,11220
2097,40.692356,-73.94282,11221
2098,40.751835,-73.82427,11355
2103,40.68045,-73.87586,11208
2105,40.835297,-73.91291,10456
2106,40.694115,-73.79214,11433
2110,40.680733,-73.97451,11217
2111,40.70281,-73.9254,11237
2115,40.82077,-73.95459,10031
2121,40.8792169,-73.8852769,10468
2126,40.683933,-73.91228,11233
2133,40.826427,-73.950455,10031
2142,40.74565,-73.92485,11104
2147,40.57754,-73.99789,11224
2158,40.67066,-73.904205,11212
2159,40.670734,-73.93373,11213
2160,40.686905,-73.94463,11216
2167,40.801754,-73.93121,10035
2173,40.806477,-73.908455,10454
2176,40.64647,-74.01258,11220
2180,40.684814,-73.98353,11217
2181,40.852818,-73.90476,10453
2182,40.69603,-73.943535,11237
2183,40.72543,-73.99678,10003
2186,40.682846,-73.95382,11216
2187,40.797367,-73.96053,10025
2188,40.69099,-73.98932,11217
2201,40.74712,-73.94239,11101
2203,40.6104,-73.9586,11230
2214,40.684082,-73.90864,11207
2216,40.695114,-73.93194,11221
2218,40.58646,-73.81544,11693
2221,40.77041,-73.87558,11369
2222,40.76027,-73.80401,11358
2226,40.812725,-73.94931,10027
2230,40.849144,-73.93548,10033
2235,40.765545,-73.95471,10128
2236,40.683304,-73.917274,11233
2243,40.579826,-73.97622,11224
2246,40.703587,-73.944336,11206
2248,40.82814,-73.8953,10459
2250,40.6803904,-73.949557,11216
2254,40.84915,-73.917336,10453
2265,40.71679,-73.94982,11211
2268,40.864403,-73.923775,10034
2272,40.808804,-73.95589,10027
2273,40.811367,-73.95402,10027
2278,40.759884,-73.9368,11106
2282,40.741028,-73.99417,10011
2288,40.669857,-73.95051,11235
2295,40.640553,-74.0043,11220
2298,40.68771,-73.845345,11416
2299,40.677917,-73.93861,11213
