COLLISION_ID,index,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET
4271536,13258,1/10/20,17:00:00,MANHATTAN,10031,40.817593,-73.95319,"(40.817593, -73.95319)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle,E-Scooter,WEST 133 STREET
4271872,13278,1/10/20,20:00:00,QUEENS,11372,40.74783,-73.88208,"(40.74783, -73.88208)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Taxi,Bike,84 STREET
4272477,13336,1/10/20,23:00:00,QUEENS,11418,40.694416,-73.83599,"(40.694416, -73.83599)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,111 STREET
4271833,13323,1/11/20,4:00:00,STATEN ISLAND,10302,40.629257,-74.13761,"(40.629257, -74.13761)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,HEBERTON AVENUE
4272443,13340,1/11/20,10:00:00,BROOKLYN,11221,40.697998,-73.92606,"(40.697998, -73.92606)",1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,MYRTLE AVENUE
4272103,13319,1/11/20,13:00:00,BROOKLYN,11215,40.661907,-73.99284,"(40.661907, -73.99284)",1,0,0,0,1,0,0,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,5 AVENUE
4272076,13291,1/11/20,17:00:00,BROOKLYN,11212,40.66077,-73.91975,"(40.66077, -73.91975)",1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,E-Scooter,Station Wagon/Sport Utility Vehicle,ROCKAWAY PARKWAY
4271951,13243,1/11/20,18:00:00,QUEENS,11372,40.755028,-73.872696,"(40.755028, -73.872696)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,34 AVENUE
4276442,13329,1/11/20,19:00:00,QUEENS,11435,40.695335,-73.80121,"(40.695335, -73.80121)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,Bike,SOUTH ROAD
4272610,13299,1/11/20,21:00:00,QUEENS,11433,40.703556,-73.78805,"(40.703556, -73.78805)",1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,Bike,Sedan,170 STREET
4273496,13279,1/12/20,11:00:00,BROOKLYN,11219,40.6406,-73.99434,"(40.6406, -73.99434)",1,0,0,0,1,0,0,0,Unspecified,Unspecified,Sedan,Bike,FORT HAMILTON PARKWAY
4272049,13256,1/12/20,14:00:00,QUEENS,11363,40.76229,-73.75711,"(40.76229, -73.75711)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Sedan,Bike,NORTHERN BOULEVARD
4273509,13310,1/12/20,20:00:00,BROOKLYN,11232,40.647068,-73.993935,"(40.647068, -73.993935)",1,0,0,0,1,0,0,0,Unspecified,Unspecified,Sedan,Bike,9 AVENUE
4276639,13300,1/13/20,5:00:00,QUEENS,11101,40.73555,-73.934784,"(40.73555, -73.934784)",1,0,0,0,1,0,0,0,Other Lighting Defects,Driver Inattention/Distraction,Bike,Pick-up Truck,GREENPOINT AVENUE
4272920,13350,1/13/20,16:00:00,BROOKLYN,11215,40.66822,-73.97383,"(40.66822, -73.97383)",1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,Sedan,Bike,PROSPECT PARK WEST
4272907,13289,1/13/20,16:00:00,BROOKLYN,11221,40.69579,-73.93313,"(40.69579, -73.93313)",1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,Bike,Sedan,BROADWAY
4277714,13366,1/13/20,17:00:00,QUEENS,11354,40.77001,-73.811264,"(40.77001, -73.811264)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,32 AVENUE
4273052,13303,1/13/20,17:00:00,BRONX,10452,40.839603,-73.918144,"(40.839603, -73.918144)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inexperience,Sedan,E-Scooter,JEROME AVENUE
4273276,13306,1/13/20,19:00:00,QUEENS,11103,40.767353,-73.9177,"(40.767353, -73.9177)",1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,E-Scooter,Sedan,28 AVENUE
4272889,13296,1/13/20,22:00:00,MANHATTAN,10128,40.783245,-73.94473,"(40.783245, -73.94473)",1,0,0,0,1,0,0,0,Unspecified,Unspecified,Taxi,Bike,1 AVENUE
4273321,13248,1/14/20,8:00:00,BROOKLYN,11229,40.613052,-73.94913,"(40.613052, -73.94913)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Bike,Taxi,KINGS HIGHWAY
4273540,13244,1/14/20,11:00:00,BROOKLYN,11221,40.696003,-73.9299,"(40.696003, -73.9299)",1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,Sedan,Bike,BUSHWICK AVENUE
4273330,13292,1/14/20,13:00:00,BROOKLYN,11222,40.724873,-73.953445,"(40.724873, -73.953445)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Sedan,E-Bike,NORMAN AVENUE
4277906,13294,1/14/20,13:00:00,QUEENS,11368,40.746387,-73.85991,"(40.746387, -73.85991)",1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,Sedan,Bike,104 STREET
4273449,13282,1/14/20,14:00:00,MANHATTAN,10012,40.724136,-73.992615,"(40.724136, -73.992615)",1,0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,Van,Bike,BOWERY
