collision_id,dates,times,borough,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,vehicle_type_code_1,vehicle_type_code_2,street,bike_lane,day_of_week,month,temperature,visibility,humidity,wind_speed,weather_main
4272477,1/10/20,23:00:00,QUEENS,11418,40.694416,-73.83599,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,111 STREET,0,Friday,January,52.16,10000,66,11.41,Clouds
4271833,1/11/20,4:00:00,STATEN ISLAND,10302,40.629257,-74.13761,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,station wagon/sport utility vehicle,Bike,HEBERTON AVENUE,1,Saturday,January,50.77,10000,67,13,Clouds
4272443,1/11/20,10:00:00,BROOKLYN,11221,40.697998,-73.92606,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,station wagon/sport utility vehicle,Bike,MYRTLE AVENUE,0,Saturday,January,54.55,10000,73,13,Clouds
4272103,1/11/20,13:00:00,BROOKLYN,11215,40.661907,-73.99284,1,0,0,0,1,0,0,0,Unspecified,Unspecified,station wagon/sport utility vehicle,Bike,5 AVENUE,1,Saturday,January,56.21,10000,77,11.41,Clouds
4272076,1/11/20,17:00:00,BROOKLYN,11212,40.66077,-73.91975,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,e-scooter,Station Wagon/Sport Utility Vehicle,ROCKAWAY PARKWAY,0,Saturday,January,63.34,10000,62,27.74,Clouds
4271951,1/11/20,18:00:00,QUEENS,11372,40.755028,-73.872696,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,34 AVENUE,0,Saturday,January,64.22,10000,60,28.86,Clear
4276442,1/11/20,19:00:00,QUEENS,11435,40.695335,-73.80121,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,station wagon/sport utility vehicle,Bike,SOUTH ROAD,0,Saturday,January,65.23,10000,58,24.16,Clouds
4272610,1/11/20,21:00:00,QUEENS,11433,40.703556,-73.78805,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,bike,Sedan,170 STREET,0,Saturday,January,60.64,10000,65,16.11,Clouds
4273496,1/12/20,11:00:00,BROOKLYN,11219,40.6406,-73.99434,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,FORT HAMILTON PARKWAY,1,Sunday,January,62.19,10000,85,28.86,Rain
4272049,1/12/20,14:00:00,QUEENS,11363,40.76229,-73.75711,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,NORTHERN BOULEVARD,0,Sunday,January,64.67,10000,59,34.45,Rain
4273509,1/12/20,20:00:00,BROOKLYN,11232,40.647068,-73.993935,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,9 AVENUE,1,Sunday,January,65.3,10000,36,25.28,Clear
4276639,1/13/20,5:00:00,QUEENS,11101,40.73555,-73.934784,1,0,0,0,1,0,0,0,Other Lighting Defects,Driver Inattention/Distraction,bike,Pick-up Truck,GREENPOINT AVENUE,0,Monday,January,46.38,10000,56,14.99,Clear
