COLLISION_ID,DATES,TIME,DAY_OF_WEEK,MONTH,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET,TEMP,VISIBILITY,HUMIDITY,WIND_SPEED,WEATHER_MAIN,BIKE_LANE
4273540," January 14, 2020",11:00:00,Tuesday,January,BROOKLYN,11221,40.696003,-73.9299,1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,sedan,Bike,BUSHWICK AVENUE,40.48,9656.00,87,9.17,Mist,0
4273330," January 14, 2020",13:00:00,Tuesday,January,BROOKLYN,11222,40.724873,-73.953445,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,E-Bike,NORMAN AVENUE,40.55,9656.00,86,8.05,Mist,0
4277906," January 14, 2020",13:00:00,Tuesday,January,QUEENS,11368,40.746387,-73.85991,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,sedan,Bike,104 STREET,40.55,9656.00,86,8.05,Mist,0
4273449," January 14, 2020",14:00:00,Tuesday,January,MANHATTAN,10012,40.724136,-73.992615,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,van,Bike,BOWERY,41.43,10000.00,83,5.99,Mist,1
4273940," January 14, 2020",18:00:00,Tuesday,January,BROOKLYN,11226,40.65217,-73.96141,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,OCEAN AVENUE,44.6,10000.00,67,8.05,Rain,0
4274113," January 14, 2020",22:00:00,Tuesday,January,BRONX,10472,40.8252,-73.867714,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,ROSEDALE AVENUE,42.53,10000.00,82,10.29,Haze,0
4279802," January 15, 2020",6:00:00,Wednesday,January,QUEENS,11373,40.739113,-73.88975,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,station wagon/sport utility vehicle,Bike,QUEENS BOULEVARD,43.38,3219.00,90,7,Mist,0
4277045," January 15, 2020",7:00:00,Wednesday,January,BROOKLYN,11201,40.69192,-73.97896,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,ASHLAND PLACE,43.7,4828.00,93,9.17,Mist,1
4273547," January 15, 2020",10:00:00,Wednesday,January,BROOKLYN,11209,40.62214,-74.02567,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,E-Scooter,85 STREET,42.76,10000.00,91,10.29,Clouds,1
4274014," January 15, 2020",11:00:00,Wednesday,January,MANHATTAN,10032,40.844677,-73.93886,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,BROADWAY,42.76,10000.00,88,16.11,Clouds,0
