,BOROUGH,STREET,BIKE_DIR,LANE_COUNT,FT_FACILIT,LATITUDE1,LONGITUDE1,LATITUDE2,LONGITUDE2
7115,BROOKLYN,CLOVERDALE BLVD,2,2,Protected Path,40.76038,-73.758001,40.759735,-73.756821
7117,BROOKLYN,HORATIO PKWY,2,2,Protected Path,40.758525,-73.754228,40.758512,-73.754047
7118,BROOKLYN,50 AVE,2,2,Protected Path,40.758245,-73.75321,40.758873,-73.752772
7119,BROOKLYN,50 AVE,L,1,,40.758873,-73.752772,40.759455,-73.752303
7120,BROOKLYN,232 ST,L,1,,40.759455,-73.752303,40.75907,-73.751156
7121,BROOKLYN,NORTHERN BLVD,2,2,Protected Path,40.762498,-73.75588,40.762836,-73.754324
7127,BROOKLYN,CLOVERDALE BLVD,2,2,Standard,40.744979,-73.748631,40.743296,-73.747849
7128,BROOKLYN,69 AV,2,2,Standard,40.744979,-73.748631,40.745232,-73.747713
7129,BROOKLYN,E HAMPTON BLVD,L,1,,40.75907,-73.751156,40.758015,-73.750577
7130,BROOKLYN,E HAMPTON BLVD,2,2,Protected Path,40.758015,-73.750577,40.757472,-73.750119
7140,BROOKLYN,230 ST,2,2,Standard,40.747471,-73.74678,40.745716,-73.745931
7141,BROOKLYN,67 AV,2,2,Standard,40.747471,-73.74678,40.747714,-73.745895
7142,BROOKLYN,230 ST,2,2,Curbside,40.745716,-73.745931,40.743281,-73.744776
7145,BROOKLYN,233 ST,2,2,Protected Path,40.750274,-73.745079,40.748207,-73.744097
7147,BROOKLYN,E HAMPTON BLVD,2,2,Sidewalk,40.75296,-73.747375,40.752347,-73.747099
7153,BROOKLYN,COMMONWEALTH BLVD,2,2,Standard,40.739561,-73.723901,40.738261,-73.723374
7155,BROOKLYN,82 AVE,2,2,Standard,40.738261,-73.723374,40.738452,-73.722485
7186,BROOKLYN,263 ST,2,2,Standard,40.750307,-73.712632,40.749474,-73.711329
7187,BROOKLYN,73 AVE,2,2,Standard,40.751812,-73.715098,40.753112,-73.715263
7197,BRONX,E 146 ST,R,1,Sharrows,40.814638,-73.920331,40.814144,-73.9192
7198,BRONX,GRAND CONCOURSE,2,2,Sidewalk,40.878395,-73.884771,40.878722,-73.884229
7199,BRONX,ST ANNS AV,2,2,Sharrows,40.822432,-73.909458,40.823179,-73.909222
7200,QUEENS,17 AV PED OVPS,2,0,,40.601837,-74.011637,40.602111,-74.01161
7206,BRONX,LACOMBE AV,R,1,Sharrows,40.81731,-73.844484,40.817096,-73.84411
7215,MANHATTAN,CRAIG RD N,2,2,Greenway,40.692886,-74.019775,40.691921,-74.020169
7218,QUEENS,SHORE PKWY,L,1,,40.602111,-74.01161,40.601657,-74.010868
7242,QUEENS,MYRTLE AV,L,1,,40.693287,-73.973855,40.693262,-73.973559
7246,MANHATTAN,WANAMAKER PL,L,1,,40.731166,-73.991921,40.730623,-73.99064
7248,MANHATTAN,W 43 ST,R,1,Sharrows,40.7603,-73.994984,40.760601,-73.995695
7249,MANHATTAN,W 43 ST,R,1,Standard,40.760601,-73.995695,40.7615,-73.997821
7257,MANHATTAN,C P W 96 APPR,L,1,,40.790826,-73.96369,40.790875,-73.963649
7264,MANHATTAN,W 158 ST,2,2,Protected Path,40.836406,-73.948508,40.836534,-73.94883
7271,QUEENS,MORGAN AV,L,1,,40.707749,-73.932297,40.708238,-73.932523
7273,QUEENS,GRAND ST,2,2,Curbside,40.714364,-73.930951,40.714451,-73.930593
7275,BROOKLYN,80 ST,2,2,Standard,40.709232,-73.870179,40.708325,-73.869758
7284,BRONX,3 AV,2,2,Sharrows,40.823179,-73.909222,40.823377,-73.909112
7297,BRONX,PAUL AV,2,2,Sharrows,40.880064,-73.887196,40.880507,-73.885951
7301,BRONX,MANHATTAN COLLEGE PKWY,2,2,Sharrows,40.888943,-73.901306,40.888931,-73.901273
7318,STATEN ISLAND,VAN DUZER ST,R,1,Standard,40.624625,-74.084962,40.622801,-74.08525
