,COLLISION_ID,DATES,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET,BIKE_LANE,DAY_OF_WEEK,MONTH
45,4272610," January 11, 2020",21:00:00,QUEENS,11433,40.703556,-73.78805,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,bike,Sedan,170 STREET,0,Saturday,January
46,4273496," January 12, 2020",11:00:00,BROOKLYN,11219,40.6406,-73.99434,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,FORT HAMILTON PARKWAY,1,Sunday,January
47,4272049," January 12, 2020",14:00:00,QUEENS,11363,40.76229,-73.75711,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,NORTHERN BOULEVARD,0,Sunday,January
48,4273509," January 12, 2020",20:00:00,BROOKLYN,11232,40.647068,-73.993935,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,Bike,9 AVENUE,1,Sunday,January
49,4276639," January 13, 2020",5:00:00,QUEENS,11101,40.73555,-73.934784,1,0,0,0,1,0,0,0,Other Lighting Defects,Driver Inattention/Distraction,bike,Pick-up Truck,GREENPOINT AVENUE,0,Monday,January
50,4272920," January 13, 2020",16:00:00,BROOKLYN,11215,40.66822,-73.97383,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,sedan,Bike,PROSPECT PARK WEST,0,Monday,January
51,4272907," January 13, 2020",16:00:00,BROOKLYN,11221,40.69579,-73.93313,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,bike,Sedan,BROADWAY,0,Monday,January
52,4277714," January 13, 2020",17:00:00,QUEENS,11354,40.77001,-73.811264,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,station wagon/sport utility vehicle,Bike,32 AVENUE,0,Monday,January
53,4273052," January 13, 2020",17:00:00,BRONX,10452,40.839603,-73.918144,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inexperience,sedan,E-Scooter,JEROME AVENUE,0,Monday,January
54,4273276," January 13, 2020",19:00:00,QUEENS,11103,40.767353,-73.9177,1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,e-scooter,Sedan,28 AVENUE,0,Monday,January
55,4272889," January 13, 2020",22:00:00,MANHATTAN,10128,40.783245,-73.94473,1,0,0,0,1,0,0,0,Unspecified,Unspecified,taxi,Bike,1 AVENUE,0,Monday,January
56,4273321," January 14, 2020",8:00:00,BROOKLYN,11229,40.613052,-73.94913,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,bike,Taxi,KINGS HIGHWAY,0,Tuesday,January
57,4273540," January 14, 2020",11:00:00,BROOKLYN,11221,40.696003,-73.9299,1,0,0,0,1,0,0,0,Unsafe Speed,Unspecified,sedan,Bike,BUSHWICK AVENUE,0,Tuesday,January
58,4273330," January 14, 2020",13:00:00,BROOKLYN,11222,40.724873,-73.953445,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,E-Bike,NORMAN AVENUE,0,Tuesday,January
59,4277906," January 14, 2020",13:00:00,QUEENS,11368,40.746387,-73.85991,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,sedan,Bike,104 STREET,0,Tuesday,January
60,4273449," January 14, 2020",14:00:00,MANHATTAN,10012,40.724136,-73.992615,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,van,Bike,BOWERY,1,Tuesday,January
61,4273940," January 14, 2020",18:00:00,BROOKLYN,11226,40.65217,-73.96141,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,OCEAN AVENUE,0,Tuesday,January
62,4274113," January 14, 2020",22:00:00,BRONX,10472,40.8252,-73.867714,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,ROSEDALE AVENUE,0,Tuesday,January
63,4279802," January 15, 2020",6:00:00,QUEENS,11373,40.739113,-73.88975,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,station wagon/sport utility vehicle,Bike,QUEENS BOULEVARD,0,Wednesday,January
64,4277045," January 15, 2020",7:00:00,BROOKLYN,11201,40.69192,-73.97896,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,ASHLAND PLACE,1,Wednesday,January
65,4273547," January 15, 2020",10:00:00,BROOKLYN,11209,40.62214,-74.02567,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,E-Scooter,85 STREET,1,Wednesday,January
66,4274014," January 15, 2020",11:00:00,MANHATTAN,10032,40.844677,-73.93886,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,BROADWAY,0,Wednesday,January
67,4273925," January 15, 2020",11:00:00,QUEENS,11373,40.748367,-73.87693,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,sedan,Bike,CASE STREET,0,Wednesday,January
68,4274062," January 15, 2020",16:00:00,BRONX,10460,40.84183,-73.88389,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,bike,Sedan,EAST TREMONT AVENUE,0,Wednesday,January
69,4273756," January 15, 2020",18:00:00,QUEENS,11101,40.748924,-73.937386,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,pick-up truck,Bike,QUEENS BOULEVARD,0,Wednesday,January
70,4273761," January 15, 2020",18:00:00,BROOKLYN,11213,40.672077,-73.941956,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,STERLING PLACE,1,Wednesday,January
71,4273765," January 15, 2020",19:00:00,QUEENS,11104,40.742508,-73.91788,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,GREENPOINT AVENUE,0,Wednesday,January
72,4273801," January 15, 2020",19:00:00,MANHATTAN,10016,40.744778,-73.97589,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Other Lighting Defects,taxi,E-Bike,2 AVENUE,0,Wednesday,January
73,4273879," January 15, 2020",20:00:00,MANHATTAN,10012,40.72545,-73.99305,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,station wagon/sport utility vehicle,E-Bike,BLEECKER STREET,1,Wednesday,January
74,4273915," January 15, 2020",21:00:00,QUEENS,11414,40.65736,-73.84046,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,station wagon/sport utility vehicle,Bike,160 AVENUE,0,Wednesday,January
75,4274753," January 16, 2020",1:00:00,BROOKLYN,11208,40.677624,-73.93308,1,0,0,0,1,0,0,0,Pavement Slippery,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,sedan,E-Scooter,ATLANTIC AVENUE,1,Thursday,January
76,4274766," January 16, 2020",14:00:00,BRONX,10462,40.84062,-73.85409,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,station wagon/sport utility vehicle,Bike,METROPOLITAN AVENUE,0,Thursday,January
77,4274355," January 16, 2020",17:00:00,QUEENS,11375,40.72703,-73.85392,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,station wagon/sport utility vehicle,Bike,67 AVENUE,0,Thursday,January
