,LATITUDE,LONGITUDE,ZIP CODE
574,40.836437,-73.91842,
576,40.61578,-73.99995,
581,40.829647,-73.94439,
584,40.83874,-73.913765,
585,40.70499,-73.91736,
587,40.743336,-73.9511,
595,40.72857,-73.85809,
598,40.680233,-73.96423,
599,40.705147,-73.90213,
600,40.622166,-74.141624,
601,40.697193,-73.72752,
608,40.840286,-73.92147,
610,40.626034,-73.98327,
613,40.675644,-73.94161,
614,40.570877,-74.16984,
616,40.6792,-73.9553,
617,40.767647,-73.92078,
618,40.692974,-73.90811,
626,0.0,0.0,
630,40.7441,-73.99565,
632,40.753098,-73.97788,
637,40.71786,-73.948326,
639,40.878,-73.90408,
643,40.715954,-73.986725,
660,40.79976,-73.96622,
663,40.76739,-73.97073,
664,40.77428,-73.957306,
682,40.721474,-73.98383,
700,40.702488,-73.98854,
709,40.668507,-73.92561,
710,40.76652,-73.92059,
713,40.83022,-73.94769,
714,40.826492,-73.907745,
716,40.619083,-73.950264,
718,40.696983,-73.935234,
719,40.82523,-73.94761,
720,40.58036,-73.96761,
721,40.727844,-73.98223,
728,40.70722,-73.78957,
730,40.655422,-73.95007,
733,40.696117,-73.970436,
734,40.67818,-73.870705,
742,40.712006,-73.75811,
744,40.656784,-73.91379,
745,40.63962,-73.95477,
747,40.799786,-73.968216,
748,40.70636,-73.95192,
760,40.86268,-73.90905,
763,40.815693,-73.948685,
764,40.69558,-73.83949,
768,40.837425,-73.92037,
778,40.65487,-73.96191,
783,40.788986,-73.97407,
788,40.69012,-73.92318,
790,40.776318,-73.962135,
795,40.77215,-73.929,
805,40.692123,-73.98904,
807,40.764732,-73.96637,
808,40.70064,-73.93647,
812,40.77753,-73.975006,
815,40.636574,-74.019196,
816,40.70987,-74.00706,
817,40.83142,-73.92644,
821,40.68662,-73.82319,
822,40.820435,-73.93624,
823,40.697124,-73.91106,
826,40.808395,-73.95296,
827,40.738758,-74.00241,
829,40.63782,-73.98921,
838,40.580627,-73.96622,
841,40.665718,-73.95687,
842,40.618427,-73.956245,
851,40.669857,-73.95051,
853,40.765392,-73.9182,
857,40.790813,-73.976456,
859,40.61913,-73.99019,
864,40.68896,-73.93326,
867,40.850475,-73.915436,
870,40.753284,-73.92049,
874,40.583725,-73.89372,
881,40.81574,-73.95456,
884,40.580616,-74.152534,
889,40.75831,-73.96294,
900,40.69977,-73.98294,
902,40.755405,-73.97949,
904,40.727287,-74.00064,
905,40.694363,-73.958,
913,40.694576,-73.95615,
914,40.736668,-73.997345,
915,40.588886,-73.965645,
919,40.752975,-73.91024,
920,40.70625,-74.00314,
925,40.730442,-73.98035,
931,40.71983,-73.98755,
939,40.85447,-73.91008,
941,40.64507,-73.95803,
942,40.69613,-73.987114,
950,40.605057,-73.999,
953,40.825756,-73.95094,
957,40.717175,-74.01288,
973,40.808002,-73.96391,
974,40.795456,-73.96564,
979,40.674,-73.960396,
981,40.60461,-73.99826,
982,40.57333,-74.117836,
984,40.730198,-73.954254,
994,40.601734,-73.935036,
995,40.73201,-73.98203,
997,40.61312,-73.9894,
998,40.650772,-74.01519,
999,40.84631,-73.91947,
1006,40.609005,-73.97304,
1011,40.799976,-73.94274,
1014,40.639256,-73.968796,
1017,40.87004,-73.8997,
1024,40.84028,-73.92741,
1026,40.748356,-74.00369,
